#[0]: Spectral type, [1]: U-B, [2]: B-V, [3]: V-R, [4]:V-I, [5]:V-J, [6]: V-H
#[7]: V-K, [8]: V-L, [9]: V-M, [10]: V-N
0	-1.08	-0.3	-0.19	-0.31	-0.8	-0.92	-0.97	-1.13	-1	-9.99
0.5	-1	-0.28	-0.18	-0.31	-0.77	-0.89	-0.95	-1.11	-0.99	-9.99
1	-0.95	-0.26	-0.16	-0.3	-0.73	-0.85	-0.93	-1.08	-0.96	-9.99
1.5	-0.88	-0.25	-0.15	-0.29	-0.7	-0.82	-0.91	-1.05	-0.94	-9.99
2	-0.81	-0.24	-0.14	-0.29	-0.67	-0.79	-0.89	-1.02	-0.92	-9.99
2.5	-0.72	-0.22	-0.13	-0.28	-0.64	-0.76	-0.86	-0.97	-0.88	-0.96
3	-0.68	-0.2	-0.12	-0.27	-0.6	-0.72	-0.82	-0.92	-0.84	-0.91
3.5	-0.65	-0.19	-0.12	-0.26	-0.58	-0.7	-0.8	-0.9	-0.82	-0.87
4	-0.63	-0.18	-0.11	-0.25	-0.56	-0.68	-0.77	-0.86	-0.79	-0.84
4.5	-0.61	-0.17	-0.11	-0.24	-0.54	-0.65	-0.74	-0.83	-0.76	-0.8
5	-0.58	-0.16	-0.1	-0.24	-0.51	-0.62	-0.71	-0.78	-0.73	-0.75
6	-0.49	-0.14	-0.1	-0.21	-0.46	-0.57	-0.64	-0.7	-0.65	-0.66
7	-0.43	-0.13	-0.09	-0.19	-0.41	-0.51	-0.57	-0.61	-0.58	-0.58
7.5	-0.4	-0.12	-0.09	-0.17	-0.39	-0.48	-0.54	-0.57	-0.54	-0.53
8	-0.36	-0.11	-0.08	-0.16	-0.36	-0.45	-0.49	-0.52	-0.49	-0.48
8.5	-0.27	-0.09	-0.08	-0.13	-0.31	-0.4	-0.43	-0.43	-0.42	-0.39
9	-0.18	-0.07	-0.07	-0.1	-0.26	-0.34	-0.33	-0.34	-0.34	-0.3
9.5	-0.1	-0.04	-0.05	-0.08	-0.22	-0.29	-0.26	-0.27	-0.26	-0.22
10	-0.02	-0.01	-0.04	-0.04	-0.16	-0.19	-0.17	-0.18	-0.18	-0.14
11	0.01	0.02	-0.02	-0.02	-0.11	-0.12	-0.11	-0.12	-0.13	-0.08
12	0.05	0.05	-0.01	0	-0.07	-0.04	-0.05	-0.07	-0.08	-0.02
13	0.08	0.08	0.01	0.02	-0.02	0.03	0.01	-0.01	-0.02	0.03
14	0.09	0.12	0.02	0.05	0.03	0.11	0.08	0.05	-0.04	0.09
15	0.09	0.15	0.04	0.09	0.09	0.19	0.15	0.12	0.1	0.16
16	0.1	0.17	0.05	0.12	0.13	0.3	0.21	0.17	0.15	0.21
17	0.1	0.2	0.06	0.15	0.18	0.32	0.27	0.23	0.2	0.26
18	0.09	0.27	0.09	0.2	0.25	0.42	0.36	0.33	0.29	0.34
19	0.08	0.3	0.1	0.24	0.31	0.49	0.44	0.41	0.36	0.41
20	0.03	0.32	0.12	0.28	0.37	0.57	0.52	0.49	0.43	0.48
21	0	0.34	0.14	0.31	0.43	0.64	0.58	0.57	0.49	0.54
22	0	0.35	0.15	0.35	0.48	0.71	0.66	0.66	0.56	0.6
25	-0.02	0.45	0.21	0.44	0.67	0.93	0.89	0.9	0.77	0.8
28	0.02	0.53	0.24	0.5	0.79	1.06	1.03	1.06	0.91	0.91
30	0.06	0.6	0.27	0.54	0.87	1.15	1.14	1.18	1.01	1.01
32	0.09	0.63	0.3	0.58	0.97	1.25	1.26	1.31	1.12	1.11
33	0.12	0.65	0.3	0.59	0.98	1.27	1.28	1.33	1.14	1.13
35	0.2	0.68	0.31	0.61	1.02	1.31	1.32	1.38	1.18	1.17
38	0.3	0.74	0.35	0.66	1.14	1.44	1.47	1.55	1.34	1.3
40	0.44	0.81	0.42	0.75	1.34	1.67	1.74	1.85	1.61	1.54
41	0.48	0.86	0.46	0.82	1.46	1.8	1.89	2.02	1.78	1.68
42	0.67	0.92	0.5	0.89	1.6	1.94	2.06	2.21	1.97	1.84
43	0.73	0.95	0.55	0.97	1.73	2.09	2.23	2.4	2.17	2.01
44	1	1	0.6	1.04	1.84	2.22	2.38	2.57	2.36	2.15
45	1.06	1.15	0.68	1.2	2.04	2.46	2.66	2.87	2.71	2.44
47	1.21	1.33	0.62	1.45	2.3	2.78	3.01	3.25	3.21	2.83
48	1.23	1.37	0.7	1.67	2.49	3.04	3.29	3.54	3.65	3.16
49	1.18	1.47	0.76	1.84	2.61	3.22	3.47	3.72	3.95	3.39
50	1.15	1.47	0.83	2.06	2.74	3.42	3.67	3.92	4.31	3.66
51	1.17	1.5	0.89	2.24	2.84	3.58	3.83	4.08	4.62	3.89
52	1.07	1.52	0.94	2.43	2.93	3.74	3.98	4.22	4.93	4.11
